,TICKER,COMPANY NAME,INSIDER,POSITION,DATE,SHARES,TRANS. PRICE,MKT VALUE,RANK,next_day_high_price,next_2day_high_price,next_3day_high_price,high_avg,high_diff,next_day_low_price,next_2day_low_price,next_3day_low_price,low_avg,low_diff
0,OXY,Occidental Petroleum Corp,Buffett Warren E,10% Owner,2022-06-17,5673196,54.96,313564496,1.5,,58.7400016784668,56.97000122070313,57.85500144958496,0.05003891413100515,,56.43999862670898,54.29999923706055,55.36999893188477,0.007404712656562238
1,OXY,Occidental Petroleum Corp,Buffett Warren E,10% Owner,2022-06-22,3878258,54.98,215222461,1.5,58.290000915527344,59.93000030517578,60.150001525878906,59.45666758219401,0.0752929446643706,54.93000030517578,56.79999923706055,58.15999984741211,56.62999979654948,0.02913649660034108
2,VGII,Virgin Group Acquisition Corp. Ii,Branson Sir Richard,10% Owner,2022-06-16,9421524,0.0,66715240,2.45,,,,,,,,,,
3,WVE,Wave Life Sciences Ltd.,Shah Rajeev M.,Director,2022-06-16,9480052,2.15,20382112,2.25,2.0899999141693115,,2.0899999141693115,2.0899999141693115,-0.028708176217574606,1.870000004768372,,1.8999999761581416,1.8849999904632568,-0.1405835601471896
4,DAWN,"Day One Biopharmaceuticals, Inc.",Blavatnik Len,Affiliate of 10% Owner,2022-06-17,1200000,15.0,18000000,2.44,,16.620000839233402,16.969999313354492,16.795000076293945,0.10687705079725356,,15.3100004196167,15.899999618530273,15.605000019073485,0.03876962629503457
5,DAWN,"Day One Biopharmaceuticals, Inc.","Atlas Venture Associates Opportunity I, Llc",10% Owner,2022-06-17,766667,15.0,11500005,2.45,,16.620000839233402,16.969999313354492,16.795000076293945,0.10687705079725356,,15.3100004196167,15.899999618530273,15.605000019073485,0.03876962629503457
6,DAWN,"Day One Biopharmaceuticals, Inc.",Gladstone Michael,Director,2022-06-17,766667,15.0,11500005,2.1,,16.620000839233402,16.969999313354492,16.795000076293945,0.10687705079725356,,15.3100004196167,15.899999618530273,15.605000019073485,0.03876962629503457
7,COGT,"Cogent Biosciences, Inc.",Fairmount Funds Management Llc,See Remarks,2022-06-16,1200000,8.25,9900000,1.5,9.720000267028807,,9.770000457763672,9.74500036239624,0.1534120376398455,7.789999961853027,,8.788999557495117,8.289499759674072,0.00476503538443016
8,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-13,513259,14.67,7528329,2.1,15.229999542236328,15.859999656677244,15.220000267028807,15.436666488647461,0.04966528811199543,13.65999984741211,15.06999969482422,14.5600004196167,14.42999998728434,-0.016632017527868685
9,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-16,467884,14.92,6981063,2.1,15.494000434875488,,15.399999618530273,15.44700002670288,0.03411665862574402,14.100000381469727,,14.050000190734865,14.075000286102295,-0.06003550243136128
10,SRRK,Scholar Rock Holding Corp,Nashat Amir,Director,2022-06-22,1197992,4.9,5870161,2.1,6.264999866485596,6.230000019073486,8.050000190734863,6.848333358764648,0.28449744729075255,5.260000228881836,5.591000080108643,6.329999923706055,5.727000077565511,0.1444037133516261
11,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-14,356272,14.39,5237696,2.1,15.859999656677244,15.220000267028807,15.494000434875488,15.524666786193848,0.07308799614320298,15.06999969482422,14.5600004196167,14.100000381469727,14.576666831970215,0.012805865299795974
12,ACLX,"Arcellx, Inc.",Baskett Forest,10% Owner,2022-06-21,312500,16.0,5000000,2.45,16.389999389648438,16.90999984741211,19.489999771118164,17.59666633605957,0.090736864901941,14.850000381469727,15.270000457763672,16.129999160766598,15.416666666666664,-0.03783783783783788
13,APPN,Appian Corp,Moran Colin T.,10% Owner,2022-06-21,100000,42.97,4397555,1.5,46.45000076293945,50.67499923706055,55.20000076293945,50.77500025431314,0.15371738483940514,43.0,45.88000106811523,51.61000061035156,46.83000055948892,0.08242580639275261
14,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,2022-06-22,325000,13.11,4260003,1.5,14.289999961853027,15.4350004196167,15.430000305175781,15.051666895548502,0.12900012397449126,13.239999771118164,14.661999702453613,15.020000457763672,14.30733331044515,0.0836866860137403
15,GMS,GMS Inc,Shackelton Christopher S,10% Owner,2022-06-23,100000,39.82,3982000,1.5,44.66999816894531,46.68000030517578,46.849998474121094,46.06666564941406,0.13560055978337376,41.209999084472656,44.88999938964844,44.9900016784668,43.6966667175293,0.08871767594058011
16,GMS,GMS Inc,Shackelton Christopher S,10% Owner,2022-06-22,93897,38.72,3635692,1.5,43.459999084472656,44.66999816894531,46.68000030517578,44.936665852864586,0.13834283729949431,39.154998779296875,41.209999084472656,44.88999938964844,41.75166575113932,0.0726118514458694
